iter	Passed	Remaining
769	14974	14196
770	14995	14178
771	15014	14158
772	15033	14139
773	15053	14120
774	15074	14101
775	15094	14082
776	15114	14064
777	15135	14045
778	15155	14027
779	15175	14007
780	15193	13987
781	15212	13967
782	15232	13948
783	15253	13930
784	15273	13911
785	15293	13892
786	15313	13873
787	15332	13853
788	15353	13835
789	15372	13816
790	15393	13797
791	15414	13779
792	15434	13760
793	15453	13741
794	15478	13726
795	15497	13706
796	15517	13687
797	15537	13668
798	15556	13648
799	15578	13631
800	15598	13612
801	15618	13593
802	15638	13574
803	15658	13555
804	15679	13536
805	15697	13516
806	15718	13498
807	15738	13478
808	15758	13459
809	15778	13440
810	15798	13422
811	15819	13404
812	15838	13383
813	15857	13364
814	15876	13344
815	15896	13324
816	15916	13306
817	15936	13286
818	15955	13267
819	15975	13248
820	15995	13228
821	16014	13209
822	16035	13190
823	16054	13171
824	16075	13152
825	16095	13133
826	16114	13113
827	16126	13088
828	16145	13068
829	16165	13049
830	16184	13029
831	16203	13009
832	16223	12990
833	16243	12971
834	16262	12951
835	16281	12932
836	16300	12911
837	16320	12892
838	16340	12874
839	16360	12854
840	16380	12835
841	16400	12816
842	16419	12796
843	16439	12777
844	16450	12751
845	16474	12735
846	16493	12716
847	16513	12696
848	16529	12674
849	16549	12655
850	16567	12635
851	16587	12615
852	16606	12595
853	16625	12575
854	16645	12556
855	16664	12537
856	16684	12518
857	16704	12499
858	16725	12480
859	16745	12461
860	16765	12442
861	16784	12423
862	16804	12403
863	16824	12384
864	16843	12365
865	16864	12346
866	16883	12326
867	16903	12307
868	16923	12288
869	16943	12269
870	16964	12250
871	16984	12231
872	17002	12211
873	17022	12192
874	17041	12172
875	17060	12152
876	17080	12133
877	17099	12113
878	17119	12094
879	17138	12074
880	17158	12055
881	17177	12035
882	17198	12017
883	17218	11998
884	17237	11978
885	17257	11959
886	17276	11939
887	17296	11920
888	17315	11901
889	17335	11881
890	17355	11862
891	17374	11843
892	17395	11824
893	17414	11804
894	17434	11785
895	17458	11768
896	17478	11749
897	17497	11729
898	17517	11710
899	17537	11691
900	17557	11672
901	17577	11653
902	17595	11633
903	17616	11614
904	17636	11595
905	17656	11576
906	17676	11556
907	17696	11538
908	17719	11520
909	17739	11501
910	17759	11482
911	17779	11463
912	17799	11443
913	17818	11424
914	17839	11405
915	17858	11386
916	17878	11366
917	17898	11347
918	17917	11327
919	17937	11308
920	17957	11289
921	17976	11269
922	17995	11249
923	18014	11229
924	18035	11211
925	18057	11193
926	18077	11173
927	18095	11153
928	18115	11134
929	18135	11115
930	18154	11095
931	18174	11076
932	18195	11057
933	18213	11037
934	18234	11018
935	18253	10999
936	18272	10979
937	18292	10960
938	18311	10939
939	18331	10920
940	18350	10901
941	18369	10881
942	18390	10862
943	18409	10843
944	18429	10823
945	18454	10807
946	18473	10787
947	18493	10768
948	18512	10748
949	18526	10725
950	18545	10706
951	18565	10686
952	18585	10667
953	18604	10647
954	18624	10628
955	18643	10608
956	18662	10589
957	18681	10569
958	18700	10549
959	18720	10530
960	18740	10511
961	18759	10491
962	18780	10472
963	18799	10452
964	18820	10434
965	18839	10414
966	18859	10395
967	18879	10375
968	18891	10352
969	18910	10332
970	18930	10313
971	18949	10293
972	18969	10274
973	18987	10253
974	19006	10234
975	19026	10215
976	19045	10195
977	19066	10176
978	19086	10157
979	19105	10137
980	19124	10117
981	19143	10098
982	19163	10078
